filename,dc.contributor.author,dc.contributor.translator,dc.date.issued,dc.description[en],dc.identifier.citation[en],dc.identifier.DOI,dc.identifier.issn,dc.language.iso[en],dc.publisher[en],dc.title[en],dc.type[en],prism.issueIdentifier[en],prism.publicationName[en],prism.volume[en]
0202001.pdf,"Aching, Gerard",,2003,,"Gerard Aching, ""Preface: Our New Format,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/1qyr-b98m",https://doi.org/10.33682/1qyr-b98m,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Preface: Our New Format,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202014.pdf,"Senior, Olive",,2003,,"Olive Senior, ""The Pain Tree,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/m5yr-dhxq",https://doi.org/10.33682/m5yr-dhxq,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Pain Tree,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202025.pdf,"Dalembert, Louis-Phillippe",,2003,,"Louis-Phillippe Dalembert, ""Le Jour Où J'ai Pleuré,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/b6yp-nm1m",https://doi.org/10.33682/b6yp-nm1m,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Le Jour Où J'ai Pleuré,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202044.pdf,"Sandiford, Robert Edison",,2003,,"Robert Edison Sandiford, ""Mistress,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/hqwx-73sy",https://doi.org/10.33682/hqwx-73sy,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Mistress,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202047.pdf,"Ellis, Garfield",,2003,,"Garfield Ellis, ""Till I'm Laid to Rest,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/qm9z-7xde",https://doi.org/10.33682/qm9z-7xde,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Till I'm Laid to Rest,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202078.pdf,"Nimblett, Anton",,2003,,"Anton Nimblett, ""Marjory's Meal,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/7844-jnhk",https://doi.org/10.33682/7844-jnhk,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Marjory's Meal,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202128.pdf,"Hernandez, Alba Delia",,2003,,"Alba Delia Hernandez, ""I Cannot See the Holy Ghost,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/u68q-bzg9",https://doi.org/10.33682/u68q-bzg9,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,I Cannot See the Holy Ghost,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202131.pdf,"Hernandez, Alba Delia",,2003,,"Alba Delia Hernandez, ""Muñeca,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/e6b0-r9jy",https://doi.org/10.33682/e6b0-r9jy,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Muñeca,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202133.pdf,"Hernandez, Alba Delia",,2003,,"Alba Delia Hernandez, ""My Sister,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/ptwm-61wm",https://doi.org/10.33682/ptwm-61wm,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,My Sister,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202135.pdf,"Hernandez, Alba Delia",,2003,,"Alba Delia Hernandez, ""Mami,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/m69t-jbdz",https://doi.org/10.33682/m69t-jbdz,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Mami,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202137.pdf,"Hernandez, Alba Delia",,2003,,"Alba Delia Hernandez, ""There Are Beautiful Stars Outside,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/4qg6-a4wj",https://doi.org/10.33682/4qg6-a4wj,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,There Are Beautiful Stars Outside,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202157.pdf,"Adisa, Opal Palmer",,2003,,"Opal Palmer Adisa, ""A Family Built on Love,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/9xzq-kpx8",https://doi.org/10.33682/9xzq-kpx8,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,A Family Built on Love,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202160.pdf,"Adisa, Opal Palmer",,2003,,"Opal Palmer Adisa, ""The Color Wheel,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/c9zk-abfw",https://doi.org/10.33682/c9zk-abfw,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,The Color Wheel,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202003.pdf,"McLean, Dolace||Bishop, Jacqueline",,2003,,"Dolace McLean, Jacqueline Bishop, ""Of Hearts Revealed: An Interview with Olive Senior,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/x89e-ec6x",https://doi.org/10.33682/x89e-ec6x,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Of Hearts Revealed: An Interview with Olive Senior,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202108.pdf,"Torres-Saillant, Silvio",,2003,,"Silvio Torres-Saillant, ""Writing Has to be Generous: An Interview with Angie Cruz,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/we2c-7qwj",https://doi.org/10.33682/we2c-7qwj,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Writing Has to be Generous: An Interview with Angie Cruz,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202036.pdf,"McDonald, Ian",,2003,,"Ian McDonald, ""Shadows Will Hide the Sun,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/g192-g7n1",https://doi.org/10.33682/g192-g7n1,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Shadows Will Hide the Sun,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202037.pdf,"Díaz, Lila","Rojas, Rodrigo",2003,,"Lila Díaz, ""Toda Isla Es Una Jaula (Every Island Is a Cage),"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/pvyg-zcyw",https://doi.org/10.33682/pvyg-zcyw,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Toda Isla Es Una Jaula (Every Island Is a Cage),Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202038.pdf,"Rojas, Rodrigo",,2003,,"Rodrigo Rojas, ""Catedrales que Trinan,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/crg2-vtxw",https://doi.org/10.33682/crg2-vtxw,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,Catedrales que Trinan,Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
0202040.pdf,"Harris, Maggie",,2003,,"Maggie Harris, ""To the Lady's Slipper Orchid, a Daughter,"" Calabash: a Journal of Caribbean Arts and Letters 2, no. 2 (Summer-Fall 2003), https://doi.org/10.33682/28m0-zx9v",https://doi.org/10.33682/28m0-zx9v,1531-6661,en,New York University. Graduate Program in Spanish & Portuguese Languages & Literatures,"To the Lady's Slipper Orchid, a Daughter",Article,2,Calabash: a Journal of Caribbean Arts and Letters,2
